,Capomulin,Ramicane,Infubinol,Ceftamin
0,23.34359787,22.05012627,36.3213458,45
1,28.43096411,29.12847181,45.69933088,45
2,28.48403281,30.27623175,46.25011212,45
3,30.48598484,30.56462509,47.01036401,45
4,31.02392294,30.63869575,50.00513807,46.78453491
5,31.8962384,31.09533505,51.54243058,47.7846818
6,32.37735684,31.56046955,54.04860769,48.72207785
7,33.32909778,32.97852192,54.65654872,52.92534846
8,34.45529799,33.39765251,55.62942846,55.74282869
9,36.04104736,33.56240217,55.65068132,56.05774909
10,37.07402422,36.13485243,57.03186187,57.91838132
11,37.31184577,36.37451039,58.26844248,59.74190064
12,38.1251644,36.56165229,60.16518046,59.85195552
13,38.75326548,37.22565033,60.91876652,61.38666032
14,38.84687569,37.31123552,60.96971133,61.43389223
15,38.93963263,38.34200823,62.11727887,61.84902336
16,38.98287774,38.4076183,62.43540402,62.99935619
17,39.95234669,38.81036633,62.75445141,64.19234114
18,40.1592203,40.65900627,65.52574285,64.29983003
19,40.65812366,40.66771292,66.08306589,64.63494887
20,40.72857787,43.0475426,66.19691151,64.72983655
21,41.48300765,43.16637266,67.28962147,67.52748237
22,41.58152074,43.41938077,67.68556862,67.74866174
23,46.53920617,44.18345092,67.97341878,68.59474498
24,47.68596303,45.22086888,72.2267309,68.92318457
